C,C,W,W,W,D,D,G,UTIL,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,G,Dustin Tokarski (6197707),Dustin Tokarski,6197707,6100,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,D,Victor Hedman (6197618),Victor Hedman,6197618,6100,SJ@TB 07:30PM ET,TB,
,,,,,,,,,,G,Jason LaBarbera (6197659),Jason LaBarbera,6197659,6000,Phi@NJ 07:00PM ET,Phi,
,,,,,,,,,,G,Drew MacIntyre (6197675),Drew MacIntyre,6197675,6000,Wpg@Car 07:00PM ET,Car,
,,,,,,,,,,C,Jason Spezza (6197368),Jason Spezza,6197368,6000,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,G,Yann Danis (6197660),Yann Danis,6197660,6000,Phi@NJ 07:00PM ET,NJ,
,,,,,,,,,,G,Justin Peters (6197668),Justin Peters,6197668,6000,LA@Was 07:00PM ET,Was,
,,,,,,,,,,C,David Krejci (6197335),David Krejci,6197335,6000,Bos@Cls 07:00PM ET,Bos,
,,,,,,,,,,RW,Tyler Toffoli (6197476),Tyler Toffoli,6197476,6000,LA@Was 07:00PM ET,LA,
,,,,,,,,,,G,John Muse (6197703),John Muse,6197703,6000,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,G,Jordan Binnington (6197704),Jordan Binnington,6197704,6000,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,G,Laurent Brossoit (6197711),Laurent Brossoit,6197711,6000,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,G,Malcolm Subban (6197685),Malcolm Subban,6197685,6000,Bos@Cls 07:00PM ET,Bos,
,,,,,,,,,,G,Anthony Stolarz (6197665),Anthony Stolarz,6197665,6000,Phi@NJ 07:00PM ET,Phi,
,,,,,,,,,,G,Troy Grosenick (6197697),Troy Grosenick,6197697,6000,SJ@TB 07:30PM ET,SJ,
,,,,,,,,,,G,Kristers Gudlevskis (6197698),Kristers Gudlevskis,6197698,6000,SJ@TB 07:30PM ET,TB,
,,,,,,,,,,G,Patrik Bartosak (6197673),Patrik Bartosak,6197673,6000,LA@Was 07:00PM ET,LA,
,,,,,,,,,,G,Pheonix Copley (6197705),Pheonix Copley,6197705,6000,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,G,MacKenzie Blackwood (6197666),MacKenzie Blackwood,6197666,6000,Phi@NJ 07:00PM ET,NJ,
,,,,,,,,,,C,Jeff Carter (6197306),Jeff Carter,6197306,5900,LA@Was 07:00PM ET,LA,
,,,,,,,,,,LW,Ryan O'Reilly (6197436),Ryan O'Reilly,6197436,5900,Buf@Ott 07:30PM ET,Buf,
,,,,,,,,,,LW,Patrick Marleau (6197442),Patrick Marleau,6197442,5800,SJ@TB 07:30PM ET,SJ,
,,,,,,,,,,C,Ryan Getzlaf (6197384),Ryan Getzlaf,6197384,5800,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,LW,Mike Hoffman (6197437),Mike Hoffman,6197437,5800,Buf@Ott 07:30PM ET,Ott,
,,,,,,,,,,RW,T.J. Oshie (6197475),T.J. Oshie,6197475,5700,LA@Was 07:00PM ET,Was,
,,,,,,,,,,D,Alex Pietrangelo (6197631),Alex Pietrangelo,6197631,5700,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,RW,Jordan Eberle (6197526),Jordan Eberle,6197526,5700,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,LW,Brandon Saad (6197427),Brandon Saad,6197427,5700,Bos@Cls 07:00PM ET,Cls,
,,,,,,,,,,D,Torey Krug (6197590),Torey Krug,6197590,5700,Bos@Cls 07:00PM ET,Bos,
,,,,,,,,,,RW,Bobby Ryan (6197499),Bobby Ryan,6197499,5600,Buf@Ott 07:30PM ET,Ott,
,,,,,,,,,,D,Rasmus Ristolainen (6197610),Rasmus Ristolainen,6197610,5600,Buf@Ott 07:30PM ET,Buf,
,,,,,,,,,,RW,Mark Stone (6197500),Mark Stone,6197500,5500,Buf@Ott 07:30PM ET,Ott,
,,,,,,,,,,C,Jack Eichel (6197352),Jack Eichel,6197352,5500,Buf@Ott 07:30PM ET,Buf,
,,,,,,,,,,C,Joe Thornton (6197354),Joe Thornton,6197354,5400,SJ@TB 07:30PM ET,SJ,
,,,,,,,,,,C,Bryan Little (6197320),Bryan Little,6197320,5400,Wpg@Car 07:00PM ET,Wpg,
,,,,,,,,,,D,Shayne Gostisbehere (6197545),Shayne Gostisbehere,6197545,5400,Phi@NJ 07:00PM ET,Phi,
,,,,,,,,,,D,Zdeno Chara (6197578),Zdeno Chara,6197578,5300,Bos@Cls 07:00PM ET,Bos,
,,,,,,,,,,LW,Scott Hartnell (6197421),Scott Hartnell,6197421,5300,Bos@Cls 07:00PM ET,Cls,
,,,,,,,,,,RW,Loui Eriksson (6197487),Loui Eriksson,6197487,5300,Bos@Cls 07:00PM ET,Bos,
,,,,,,,,,,LW,Jaden Schwartz (6197453),Jaden Schwartz,6197453,5300,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,C,Mark Scheifele (6197326),Mark Scheifele,6197326,5300,Wpg@Car 07:00PM ET,Wpg,
,,,,,,,,,,RW,Justin Williams (6197474),Justin Williams,6197474,5200,LA@Was 07:00PM ET,Was,
,,,,,,,,,,D,Jake Muzzin (6197558),Jake Muzzin,6197558,5200,LA@Was 07:00PM ET,LA,
,,,,,,,,,,C,Tyler Johnson (6197360),Tyler Johnson,6197360,5200,SJ@TB 07:30PM ET,TB,
,,,,,,,,,,LW,Michael Cammalleri (6197396),Michael Cammalleri,6197396,5100,Phi@NJ 07:00PM ET,NJ,
,,,,,,,,,,RW,Kyle Palmieri (6197469),Kyle Palmieri,6197469,5100,Phi@NJ 07:00PM ET,NJ,
,,,,,,,,,,C,Ryan Kesler (6197383),Ryan Kesler,6197383,5000,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,D,Matt Niskanen (6197550),Matt Niskanen,6197550,5000,LA@Was 07:00PM ET,Was,
,,,,,,,,,,D,Marc-Edouard Vlasic (6197615),Marc-Edouard Vlasic,6197615,5000,SJ@TB 07:30PM ET,SJ,
,,,,,,,,,,D,Anton Stralman (6197616),Anton Stralman,6197616,5000,SJ@TB 07:30PM ET,TB,
,,,,,,,,,,C,Kyle Turris (6197343),Kyle Turris,6197343,5000,Buf@Ott 07:30PM ET,Ott,
,,,,,,,,,,D,Sami Vatanen (6197652),Sami Vatanen,6197652,5000,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,C,Boone Jenner (6197338),Boone Jenner,6197338,5000,Bos@Cls 07:00PM ET,Cls,
,,,,,,,,,,C,Leon Draisaitl (6197394),Leon Draisaitl,6197394,5000,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,C,Eric Staal (6197318),Eric Staal,6197318,4900,Wpg@Car 07:00PM ET,Car,
,,,,,,,,,,RW,Lee Stempniak (6197464),Lee Stempniak,6197464,4900,Phi@NJ 07:00PM ET,NJ,
,,,,,,,,,,LW,Nick Foligno (6197422),Nick Foligno,6197422,4900,Bos@Cls 07:00PM ET,Cls,
,,,,,,,,,,LW,Tomas Hertl (6197446),Tomas Hertl,6197446,4900,SJ@TB 07:30PM ET,SJ,
,,,,,,,,,,RW,Marian Gaborik (6197473),Marian Gaborik,6197473,4800,LA@Was 07:00PM ET,LA,
,,,,,,,,,,LW,Andrew Ladd (6197414),Andrew Ladd,6197414,4800,Wpg@Car 07:00PM ET,Wpg,
,,,,,,,,,,LW,Benoit Pouliot (6197457),Benoit Pouliot,6197457,4800,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,C,Paul Stastny (6197372),Paul Stastny,6197372,4800,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,LW,Jeff Skinner (6197417),Jeff Skinner,6197417,4800,Wpg@Car 07:00PM ET,Car,
,,,,,,,,,,RW,Cam Atkinson (6197493),Cam Atkinson,6197493,4800,Bos@Cls 07:00PM ET,Cls,
,,,,,,,,,,C,Ryan Nugent-Hopkins (6197392),Ryan Nugent-Hopkins,6197392,4800,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,D,Seth Jones (6197593),Seth Jones,6197593,4800,Bos@Cls 07:00PM ET,Cls,
,,,,,,,,,,D,Dion Phaneuf (6197596),Dion Phaneuf,6197596,4700,Buf@Ott 07:30PM ET,Ott,
,,,,,,,,,,RW,Drew Stafford (6197481),Drew Stafford,6197481,4700,Wpg@Car 07:00PM ET,Wpg,
,,,,,,,,,,C,David Backes (6197370),David Backes,6197370,4700,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,LW,Milan Lucic (6197407),Milan Lucic,6197407,4700,LA@Was 07:00PM ET,LA,
,,,,,,,,,,D,Alec Martinez (6197552),Alec Martinez,6197552,4700,LA@Was 07:00PM ET,LA,
,,,,,,,,,,C,Ryan Spooner (6197337),Ryan Spooner,6197337,4700,Bos@Cls 07:00PM ET,Bos,
,,,,,,,,,,C,Adam Henrique (6197299),Adam Henrique,6197299,4700,Phi@NJ 07:00PM ET,NJ,
,,,,,,,,,,C,Mika Zibanejad (6197346),Mika Zibanejad,6197346,4700,Buf@Ott 07:30PM ET,Ott,
,,,,,,,,,,D,Colton Parayko (6197641),Colton Parayko,6197641,4700,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,C,Brandon Dubinsky (6197334),Brandon Dubinsky,6197334,4600,Bos@Cls 07:00PM ET,Cls,
,,,,,,,,,,D,Alex Goligoski (6197630),Alex Goligoski,6197630,4600,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,RW,Jakob Silfverberg (6197529),Jakob Silfverberg,6197529,4600,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,LW,Andre Burakovsky (6197412),Andre Burakovsky,6197412,4600,LA@Was 07:00PM ET,Was,
,,,,,,,,,,RW,Nikolaj Ehlers (6197486),Nikolaj Ehlers,6197486,4600,Wpg@Car 07:00PM ET,Wpg,
,,,,,,,,,,LW,David Perron (6197458),David Perron,6197458,4500,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,C,Rickard Rakell (6197393),Rickard Rakell,6197393,4500,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,RW,Joel Ward (6197507),Joel Ward,6197507,4400,SJ@TB 07:30PM ET,SJ,
,,,,,,,,,,D,Tyler Myers (6197569),Tyler Myers,6197569,4400,Wpg@Car 07:00PM ET,Wpg,
,,,,,,,,,,D,Mark Streit (6197533),Mark Streit,6197533,4300,Phi@NJ 07:00PM ET,Phi,
,,,,,,,,,,RW,Ryan Callahan (6197504),Ryan Callahan,6197504,4300,SJ@TB 07:30PM ET,TB,
,,,,,,,,,,D,Andrej Sekera (6197645),Andrej Sekera,6197645,4300,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,C,Mathieu Perreault (6197322),Mathieu Perreault,6197322,4300,Wpg@Car 07:00PM ET,Wpg,
,,,,,,,,,,C,Brayden Schenn (6197295),Brayden Schenn,6197295,4300,Phi@NJ 07:00PM ET,Phi,
,,,,,,,,,,C,Marcus Johansson (6197312),Marcus Johansson,6197312,4300,LA@Was 07:00PM ET,Was,
,,,,,,,,,,LW,Ondrej Palat (6197444),Ondrej Palat,6197444,4300,SJ@TB 07:30PM ET,TB,
,,,,,,,,,,D,Brooks Orpik (6197548),Brooks Orpik,6197548,4200,LA@Was 07:00PM ET,Was,
,,,,,,,,,,LW,Matt Beleskey (6197424),Matt Beleskey,6197424,4200,Bos@Cls 07:00PM ET,Bos,
,,,,,,,,,,D,Michael Del Zotto (6197537),Michael Del Zotto,6197537,4200,Phi@NJ 07:00PM ET,Phi,
,,,,,,,,,,D,Hampus Lindholm (6197656),Hampus Lindholm,6197656,4200,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,D,Jacob Trouba (6197574),Jacob Trouba,6197574,4200,Wpg@Car 07:00PM ET,Wpg,
,,,,,,,,,,C,Sam Reinhart (6197351),Sam Reinhart,6197351,4200,Buf@Ott 07:30PM ET,Buf,
,,,,,,,,,,LW,Jason Chimera (6197404),Jason Chimera,6197404,4100,LA@Was 07:00PM ET,Was,
,,,,,,,,,,LW,Dustin Brown (6197405),Dustin Brown,6197405,4100,LA@Was 07:00PM ET,LA,
,,,,,,,,,,C,Tyler Ennis (6197345),Tyler Ennis,6197345,4100,Buf@Ott 07:30PM ET,Buf,
,,,,,,,,,,RW,David Pastrnak (6197496),David Pastrnak,6197496,4100,Bos@Cls 07:00PM ET,Bos,
,,,,,,,,,,RW,Patrick Eaves (6197516),Patrick Eaves,6197516,4000,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,RW,Kris Versteeg (6197482),Kris Versteeg,6197482,4000,Wpg@Car 07:00PM ET,Car,
,,,,,,,,,,C,Jordan Staal (6197319),Jordan Staal,6197319,4000,Wpg@Car 07:00PM ET,Car,
,,,,,,,,,,RW,Chris Stewart (6197524),Chris Stewart,6197524,4000,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,D,Karl Alzner (6197551),Karl Alzner,6197551,4000,LA@Was 07:00PM ET,Was,
,,,,,,,,,,D,Jason Demers (6197632),Jason Demers,6197632,4000,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,D,Justin Braun (6197619),Justin Braun,6197619,4000,SJ@TB 07:30PM ET,SJ,
,,,,,,,,,,D,David Savard (6197585),David Savard,6197585,4000,Bos@Cls 07:00PM ET,Cls,
,,,,,,,,,,D,Cam Fowler (6197649),Cam Fowler,6197649,4000,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,D,Oscar Klefbom (6197653),Oscar Klefbom,6197653,4000,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,C,Vladislav Namestnikov (6197361),Vladislav Namestnikov,6197361,4000,SJ@TB 07:30PM ET,TB,
,,,,,,,,,,C,Victor Rask (6197327),Victor Rask,6197327,4000,Wpg@Car 07:00PM ET,Car,
,,,,,,,,,,LW,Alex Killorn (6197445),Alex Killorn,6197445,4000,SJ@TB 07:30PM ET,TB,
,,,,,,,,,,D,Cody Ceci (6197608),Cody Ceci,6197608,4000,Buf@Ott 07:30PM ET,Ott,
,,,,,,,,,,RW,Teddy Purcell (6197525),Teddy Purcell,6197525,3900,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,RW,Joonas Donskoi (6197510),Joonas Donskoi,6197510,3900,SJ@TB 07:30PM ET,SJ,
,,,,,,,,,,C,Sean Couturier (6197300),Sean Couturier,6197300,3900,Phi@NJ 07:00PM ET,Phi,
,,,,,,,,,,C,Joseph Blandisi (6197303),Joseph Blandisi,6197303,3900,Phi@NJ 07:00PM ET,NJ,
,,,,,,,,,,D,Jack Johnson (6197581),Jack Johnson,6197581,3800,Bos@Cls 07:00PM ET,Cls,
,,,,,,,,,,RW,Jimmy Hayes (6197491),Jimmy Hayes,6197491,3800,Bos@Cls 07:00PM ET,Bos,
