"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG","J.J. Redick",5100,"Chi@LAC 03:30PM ET",22.430,"LAC"
"SG","Arron Afflalo",5100,"GS@NY 07:30PM ET",22.713,"NY"
"PF","Amir Johnson",5100,"Bos@Orl 06:00PM ET",22.033,"Bos"
"SF","Aaron Gordon",5100,"Bos@Orl 06:00PM ET",18.295,"Orl"
"C","Kelly Olynyk",5000,"Bos@Orl 06:00PM ET",21.415,"Bos"
"C","Gorgui Dieng",5000,"Min@Por 09:00PM ET",22.448,"Min"
"C","Cody Zeller",5000,"Cha@LAL 09:30PM ET",20.425,"Cha"
"C","Alex Len",5000,"Pho@Dal 07:00PM ET",17.917,"Pho"
"SG","Evan Fournier",5000,"Bos@Orl 06:00PM ET",24.122,"Orl"
"PG","Dennis Schroder",5000,"Atl@Mia 06:00PM ET",22.880,"Atl"
"PG","D'Angelo Russell",5000,"Cha@LAL 09:30PM ET",23.798,"LAL"
"C","Tyson Chandler",4900,"Pho@Dal 07:00PM ET",19.141,"Pho"
"SG","Wesley Matthews",4900,"Pho@Dal 07:00PM ET",22.400,"Dal"
"SF","Al-Farouq Aminu",4900,"Min@Por 09:00PM ET",24.219,"Por"
"SG","Evan Turner",4800,"Bos@Orl 06:00PM ET",22.729,"Bos"
"PF","Markieff Morris",4800,"Pho@Dal 07:00PM ET",20.516,"Pho"
"SF","Harrison Barnes",4800,"GS@NY 07:30PM ET",22.750,"GS"
"SF","Luol Deng",4700,"Atl@Mia 06:00PM ET",20.944,"Mia"
"C","Robin Lopez",4700,"GS@NY 07:30PM ET",21.031,"NY"
"SF","Andre Iguodala",4600,"GS@NY 07:30PM ET",21.196,"GS"
"C","Andrew Bogut",4500,"GS@NY 07:30PM ET",21.288,"GS"
"SG","Langston Galloway",4500,"GS@NY 07:30PM ET",18.214,"NY"
"SG","Jeremy Lamb",4500,"Cha@LAL 09:30PM ET",20.803,"Cha"
"SF","Shabazz Muhammad",4500,"Min@Por 09:00PM ET",15.000,"Min"
"SG","Kyle Korver",4400,"Atl@Mia 06:00PM ET",19.842,"Atl"
"SG","Tyler Johnson",4400,"Atl@Mia 06:00PM ET",17.632,"Mia"
"PF","Larry Nance Jr.",4400,"Cha@LAL 09:30PM ET",14.900,"LAL"
"SF","Justise Winslow",4400,"Atl@Mia 06:00PM ET",15.375,"Mia"
"SG","Jamal Crawford",4300,"Chi@LAC 03:30PM ET",18.846,"LAC"
"PF","Amar'e Stoudemire",4200,"Atl@Mia 06:00PM ET",11.276,"Mia"
"PG","J.J. Barea",4200,"Pho@Dal 07:00PM ET",18.913,"Dal"
"SG","Gerald Green",4200,"Atl@Mia 06:00PM ET",17.329,"Mia"
"SF","Wesley Johnson",4200,"Chi@LAC 03:30PM ET",14.005,"LAC"
"SF","Mirza Teletovic",4200,"Pho@Dal 07:00PM ET",16.810,"Pho"
"SG","Raymond Felton",4100,"Pho@Dal 07:00PM ET",20.021,"Dal"
"PG","Jose Calderon",4100,"GS@NY 07:30PM ET",19.505,"NY"
"PF","Jon Leuer",4100,"Pho@Dal 07:00PM ET",19.792,"Pho"
"PF","Ed Davis",4100,"Min@Por 09:00PM ET",19.936,"Por"
"SG","Allen Crabbe",4100,"Min@Por 09:00PM ET",18.599,"Por"
"PG","Aaron Brooks",4000,"Chi@LAC 03:30PM ET",14.771,"Chi"
"C","Roy Hibbert",4000,"Cha@LAL 09:30PM ET",19.444,"LAL"
"C","Meyers Leonard",4000,"Min@Por 09:00PM ET",18.579,"Por"
"C","Frank Kaminsky",4000,"Cha@LAL 09:30PM ET",16.587,"Cha"
"SF","T.J. Warren",4000,"Pho@Dal 07:00PM ET",18.516,"Pho"
"PF","Brandon Bass",3900,"Cha@LAL 09:30PM ET",15.695,"LAL"
"SF","Thabo Sefolosha",3900,"Atl@Mia 06:00PM ET",18.518,"Atl"
"PF","Bobby Portis",3900,"Chi@LAC 03:30PM ET",13.870,"Chi"
"SF","Paul Pierce",3800,"Chi@LAC 03:30PM ET",12.279,"LAC"
"PG","Beno Udrih",3800,"Atl@Mia 06:00PM ET",10.971,"Mia"
"SF","Lance Thomas",3800,"GS@NY 07:30PM ET",13.853,"NY"
"C","Festus Ezeli",3700,"GS@NY 07:30PM ET",19.050,"GS"
"SF","Michael Kidd-Gilchrist",3700,"Cha@LAL 09:30PM ET",22.250,"Cha"
"SF","P.J. Hairston",3700,"Cha@LAL 09:30PM ET",12.324,"Cha"
"PG","Kirk Hinrich",3600,"Chi@LAC 03:30PM ET",9.152,"Chi"
"PF","Mike Scott",3600,"Atl@Mia 06:00PM ET",12.226,"Atl"
"PG","Shaun Livingston",3500,"GS@NY 07:30PM ET",14.142,"GS"
"C","Cole Aldrich",3500,"Chi@LAC 03:30PM ET",14.160,"LAC"
"PF","Dwight Powell",3500,"Pho@Dal 07:00PM ET",15.537,"Dal"
"PF","Noah Vonleh",3500,"Min@Por 09:00PM ET",10.885,"Por"
"SF","Tony Snell",3400,"Chi@LAC 03:30PM ET",12.750,"Chi"
"PG","Jerian Grant",3400,"GS@NY 07:30PM ET",11.848,"NY"
"C","Salah Mejri",3400,"Pho@Dal 07:00PM ET",10.318,"Dal"
"PF","David Lee",3300,"Bos@Orl 06:00PM ET",16.283,"Bos"
"SG","Kevin Martin",3300,"Min@Por 09:00PM ET",16.707,"Min"
"C","Marreese Speights",3300,"GS@NY 07:30PM ET",11.632,"GS"
"SF","Doug McDermott",3300,"Chi@LAC 03:30PM ET",12.574,"Chi"
"SG","Josh Richardson",3300,"Atl@Mia 06:00PM ET",6.012,"Mia"
"PG","Devin Harris",3200,"Pho@Dal 07:00PM ET",15.313,"Dal"
"PF","Channing Frye",3200,"Bos@Orl 06:00PM ET",13.138,"Orl"
"SG","Nick Young",3200,"Cha@LAL 09:30PM ET",12.321,"LAL"
"SG","Brandon Rush",3200,"GS@NY 07:30PM ET",11.579,"GS"
"C","JaVale McGee",3200,"Pho@Dal 07:00PM ET",12.759,"Dal"
"C","Tiago Splitter",3200,"Atl@Mia 06:00PM ET",12.421,"Atl"
"SG","E'Twaun Moore",3200,"Chi@LAC 03:30PM ET",9.470,"Chi"
"SF","Lance Stephenson",3200,"Chi@LAC 03:30PM ET",10.547,"LAC"
"PG","Troy Daniels",3200,"Cha@LAL 09:30PM ET",8.390,"Cha"
"PF","Nemanja Bjelica",3200,"Min@Por 09:00PM ET",12.482,"Min"
"PG","Pablo Prigioni",3200,"Chi@LAC 03:30PM ET",9.491,"LAC"
"SG","Austin Rivers",3200,"Chi@LAC 03:30PM ET",14.051,"LAC"
"SF","Tayshaun Prince",3100,"Min@Por 09:00PM ET",8.260,"Min"
"PG","Leandro Barbosa",3100,"GS@NY 07:30PM ET",12.287,"GS"
"PF","Charlie Villanueva",3100,"Pho@Dal 07:00PM ET",11.013,"Dal"
"PF","Jason Smith",3100,"Bos@Orl 06:00PM ET",11.713,"Orl"
