PG,SG,SF,PF,C,G,F,UTIL,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,C,Tyson Chandler (6123807),Tyson Chandler,6123807,4900,Pho@Dal 07:00PM ET,Pho,
,,,,,,,,,SG,Wesley Matthews (6123681),Wesley Matthews,6123681,4900,Pho@Dal 07:00PM ET,Dal,
,,,,,,,,,SF,Al-Farouq Aminu (6123728),Al-Farouq Aminu,6123728,4900,Min@Por 09:00PM ET,Por,
,,,,,,,,,SG,Evan Turner (6123667),Evan Turner,6123667,4800,Bos@Orl 06:00PM ET,Bos,
,,,,,,,,,PF,Markieff Morris (6123771),Markieff Morris,6123771,4800,Pho@Dal 07:00PM ET,Pho,
,,,,,,,,,SF,Harrison Barnes (6123718),Harrison Barnes,6123718,4800,GS@NY 07:30PM ET,GS,
,,,,,,,,,SF,Luol Deng (6123693),Luol Deng,6123693,4700,Atl@Mia 06:00PM ET,Mia,
,,,,,,,,,C,Robin Lopez (6123804),Robin Lopez,6123804,4700,GS@NY 07:30PM ET,NY,
,,,,,,,,,SF,Andre Iguodala (6123715),Andre Iguodala,6123715,4600,GS@NY 07:30PM ET,GS,
,,,,,,,,,C,Andrew Bogut (6123803),Andrew Bogut,6123803,4500,GS@NY 07:30PM ET,GS,
,,,,,,,,,SG,Langston Galloway (6123679),Langston Galloway,6123679,4500,GS@NY 07:30PM ET,NY,
,,,,,,,,,SG,Jeremy Lamb (6123660),Jeremy Lamb,6123660,4500,Cha@LAL 09:30PM ET,Cha,
,,,,,,,,,SF,Shabazz Muhammad (6123731),Shabazz Muhammad,6123731,4500,Min@Por 09:00PM ET,Min,
,,,,,,,,,SG,Kyle Korver (6123649),Kyle Korver,6123649,4400,Atl@Mia 06:00PM ET,Atl,
,,,,,,,,,SG,Tyler Johnson (6123655),Tyler Johnson,6123655,4400,Atl@Mia 06:00PM ET,Mia,
,,,,,,,,,PF,Larry Nance Jr. (6123744),Larry Nance Jr.,6123744,4400,Cha@LAL 09:30PM ET,LAL,
,,,,,,,,,SF,Justise Winslow (6123696),Justise Winslow,6123696,4400,Atl@Mia 06:00PM ET,Mia,
,,,,,,,,,SG,Jamal Crawford (6123661),Jamal Crawford,6123661,4300,Chi@LAC 03:30PM ET,LAC,
,,,,,,,,,PF,Amar'e Stoudemire (6123734),Amar'e Stoudemire,6123734,4200,Atl@Mia 06:00PM ET,Mia,
