C,C,W,W,W,D,D,G,UTIL,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,C,Leon Draisaitl (6187649),Leon Draisaitl,6187649,5100,Wpg@Edm 10:00PM ET,Edm,
,,,,,,,,,,LW,Andrew Ladd (6187664),Andrew Ladd,6187664,5000,Wpg@Edm 10:00PM ET,Wpg,
,,,,,,,,,,D,Marc-Edouard Vlasic (6187718),Marc-Edouard Vlasic,6187718,5000,Ari@SJ 10:30PM ET,SJ,
,,,,,,,,,,LW,Benoit Pouliot (6187666),Benoit Pouliot,6187666,4800,Wpg@Edm 10:00PM ET,Edm,
,,,,,,,,,,C,Ryan Nugent-Hopkins (6187645),Ryan Nugent-Hopkins,6187645,4800,Wpg@Edm 10:00PM ET,Edm,
,,,,,,,,,,LW,Tomas Hertl (6187673),Tomas Hertl,6187673,4800,Ari@SJ 10:30PM ET,SJ,
,,,,,,,,,,RW,Drew Stafford (6187679),Drew Stafford,6187679,4700,Wpg@Edm 10:00PM ET,Wpg,
,,,,,,,,,,LW,Mikkel Boedker (6187671),Mikkel Boedker,6187671,4600,Ari@SJ 10:30PM ET,Ari,
,,,,,,,,,,LW,Max Domi (6187675),Max Domi,6187675,4600,Ari@SJ 10:30PM ET,Ari,
,,,,,,,,,,RW,Nikolaj Ehlers (6187689),Nikolaj Ehlers,6187689,4600,Wpg@Edm 10:00PM ET,Wpg,
,,,,,,,,,,RW,Shane Doan (6187690),Shane Doan,6187690,4500,Ari@SJ 10:30PM ET,Ari,
,,,,,,,,,,RW,Joel Ward (6187692),Joel Ward,6187692,4500,Ari@SJ 10:30PM ET,SJ,
,,,,,,,,,,D,Andrej Sekera (6187700),Andrej Sekera,6187700,4300,Wpg@Edm 10:00PM ET,Edm,
,,,,,,,,,,C,Mathieu Perreault (6187642),Mathieu Perreault,6187642,4300,Wpg@Edm 10:00PM ET,Wpg,
,,,,,,,,,,D,Tyler Myers (6187703),Tyler Myers,6187703,4300,Wpg@Edm 10:00PM ET,Wpg,
,,,,,,,,,,RW,Tobias Rieder (6187696),Tobias Rieder,6187696,4300,Ari@SJ 10:30PM ET,Ari,
,,,,,,,,,,D,Michael Stone (6187719),Michael Stone,6187719,4200,Ari@SJ 10:30PM ET,Ari,
,,,,,,,,,,D,Jacob Trouba (6187711),Jacob Trouba,6187711,4200,Wpg@Edm 10:00PM ET,Wpg,
,,,,,,,,,,C,Martin Hanzal (6187657),Martin Hanzal,6187657,4000,Ari@SJ 10:30PM ET,Ari,
,,,,,,,,,,D,Justin Braun (6187721),Justin Braun,6187721,4000,Ari@SJ 10:30PM ET,SJ,
,,,,,,,,,,D,Oscar Klefbom (6187709),Oscar Klefbom,6187709,4000,Wpg@Edm 10:00PM ET,Edm,
,,,,,,,,,,RW,Teddy Purcell (6187680),Teddy Purcell,6187680,3900,Wpg@Edm 10:00PM ET,Edm,
,,,,,,,,,,LW,Anthony Duclair (6187676),Anthony Duclair,6187676,3900,Ari@SJ 10:30PM ET,Ari,
,,,,,,,,,,RW,Nail Yakupov (6187687),Nail Yakupov,6187687,3800,Wpg@Edm 10:00PM ET,Edm,
,,,,,,,,,,C,Antoine Vermette (6187654),Antoine Vermette,6187654,3700,Ari@SJ 10:30PM ET,Ari,
,,,,,,,,,,RW,Joonas Donskoi (6187695),Joonas Donskoi,6187695,3700,Ari@SJ 10:30PM ET,SJ,
,,,,,,,,,,D,Justin Schultz (6187712),Justin Schultz,6187712,3700,Wpg@Edm 10:00PM ET,Edm,
,,,,,,,,,,RW,Tommy Wingels (6187694),Tommy Wingels,6187694,3600,Ari@SJ 10:30PM ET,SJ,
,,,,,,,,,,D,Darnell Nurse (6187713),Darnell Nurse,6187713,3500,Wpg@Edm 10:00PM ET,Edm,
,,,,,,,,,,C,Brad Richardson (6187656),Brad Richardson,6187656,3200,Ari@SJ 10:30PM ET,Ari,
,,,,,,,,,,LW,Jordan Martinook (6187674),Jordan Martinook,6187674,3200,Ari@SJ 10:30PM ET,Ari,
,,,,,,,,,,RW,Zack Kassian (6187683),Zack Kassian,6187683,3100,Wpg@Edm 10:00PM ET,Edm,
,,,,,,,,,,C,Melker Karlsson (6187663),Melker Karlsson,6187663,3100,Ari@SJ 10:30PM ET,SJ,
,,,,,,,,,,D,Toby Enstrom (6187702),Toby Enstrom,6187702,3000,Wpg@Edm 10:00PM ET,Wpg,
,,,,,,,,,,LW,Matt Nieto (6187672),Matt Nieto,6187672,3000,Ari@SJ 10:30PM ET,SJ,
,,,,,,,,,,D,Paul Martin (6187715),Paul Martin,6187715,2900,Ari@SJ 10:30PM ET,SJ,
,,,,,,,,,,D,Brandon Davidson (6187707),Brandon Davidson,6187707,2900,Wpg@Edm 10:00PM ET,Edm,
,,,,,,,,,,D,Connor Murphy (6187725),Connor Murphy,6187725,2900,Ari@SJ 10:30PM ET,Ari,
,,,,,,,,,,C,Mark Letestu (6187641),Mark Letestu,6187641,2800,Wpg@Edm 10:00PM ET,Edm,
,,,,,,,,,,D,Mark Fayne (6187708),Mark Fayne,6187708,2800,Wpg@Edm 10:00PM ET,Edm,
,,,,,,,,,,LW,Raffi Torres (6187670),Raffi Torres,6187670,2700,Ari@SJ 10:30PM ET,SJ,
,,,,,,,,,,D,Zbynek Michalek (6187714),Zbynek Michalek,6187714,2700,Ari@SJ 10:30PM ET,Ari,
,,,,,,,,,,D,Eric Gryba (6187705),Eric Gryba,6187705,2700,Wpg@Edm 10:00PM ET,Edm,
,,,,,,,,,,D,Brenden Dillon (6187724),Brenden Dillon,6187724,2700,Ari@SJ 10:30PM ET,SJ,
,,,,,,,,,,D,Dylan DeMelo (6187727),Dylan DeMelo,6187727,2700,Ari@SJ 10:30PM ET,SJ,
,,,,,,,,,,RW,Iiro Pakarinen (6187686),Iiro Pakarinen,6187686,2700,Wpg@Edm 10:00PM ET,Edm,
,,,,,,,,,,LW,Lauri Korpikoski (6187665),Lauri Korpikoski,6187665,2600,Wpg@Edm 10:00PM ET,Edm,
,,,,,,,,,,D,Nicklas Grossmann (6187717),Nicklas Grossmann,6187717,2600,Ari@SJ 10:30PM ET,Ari,
,,,,,,,,,,RW,Mike Brown (6187691),Mike Brown,6187691,2600,Ari@SJ 10:30PM ET,SJ,
,,,,,,,,,,RW,Joel Armia (6187685),Joel Armia,6187685,2600,Wpg@Edm 10:00PM ET,Wpg,
,,,,,,,,,,D,Adam Clendening (6187710),Adam Clendening,6187710,2600,Wpg@Edm 10:00PM ET,Edm,
,,,,,,,,,,C,Dainius Zubrus (6187651),Dainius Zubrus,6187651,2500,Ari@SJ 10:30PM ET,SJ,
,,,,,,,,,,D,Andrew Ference (6187697),Andrew Ference,6187697,2500,Wpg@Edm 10:00PM ET,Edm,
,,,,,,,,,,C,Boyd Gordon (6187653),Boyd Gordon,6187653,2500,Ari@SJ 10:30PM ET,Ari,
,,,,,,,,,,D,Mark Stuart (6187698),Mark Stuart,6187698,2500,Wpg@Edm 10:00PM ET,Wpg,
,,,,,,,,,,RW,Chris Thorburn (6187677),Chris Thorburn,6187677,2500,Wpg@Edm 10:00PM ET,Wpg,
,,,,,,,,,,C,Kyle Chipchura (6187655),Kyle Chipchura,6187655,2500,Ari@SJ 10:30PM ET,Ari,
,,,,,,,,,,D,Adam Pardy (6187701),Adam Pardy,6187701,2500,Wpg@Edm 10:00PM ET,Wpg,
,,,,,,,,,,LW,Matt Hendricks (6187667),Matt Hendricks,6187667,2500,Wpg@Edm 10:00PM ET,Edm,
,,,,,,,,,,RW,Viktor Tikhonov (6187693),Viktor Tikhonov,6187693,2500,Ari@SJ 10:30PM ET,Ari,
,,,,,,,,,,RW,Anthony Peluso (6187682),Anthony Peluso,6187682,2500,Wpg@Edm 10:00PM ET,Wpg,
,,,,,,,,,,C,Joe Vitale (6187660),Joe Vitale,6187660,2500,Ari@SJ 10:30PM ET,Ari,
,,,,,,,,,,D,Paul Postma (6187704),Paul Postma,6187704,2500,Wpg@Edm 10:00PM ET,Wpg,
,,,,,,,,,,D,Kevin Connauton (6187722),Kevin Connauton,6187722,2500,Ari@SJ 10:30PM ET,Ari,
,,,,,,,,,,D,Ben Chiarot (6187706),Ben Chiarot,6187706,2500,Wpg@Edm 10:00PM ET,Wpg,
,,,,,,,,,,C,Alex Burmistrov (6187643),Alex Burmistrov,6187643,2500,Wpg@Edm 10:00PM ET,Wpg,
,,,,,,,,,,D,Jarred Tinordi (6187723),Jarred Tinordi,6187723,2500,Ari@SJ 10:30PM ET,Ari,
,,,,,,,,,,RW,Tyler Pitlick (6187684),Tyler Pitlick,6187684,2500,Wpg@Edm 10:00PM ET,Edm,
,,,,,,,,,,C,Anton Lander (6187644),Anton Lander,6187644,2500,Wpg@Edm 10:00PM ET,Edm,
,,,,,,,,,,C,Adam Lowry (6187647),Adam Lowry,6187647,2500,Wpg@Edm 10:00PM ET,Wpg,
,,,,,,,,,,D,Klas Dahlbeck (6187726),Klas Dahlbeck,6187726,2500,Ari@SJ 10:30PM ET,Ari,
,,,,,,,,,,D,Matt Tennyson (6187728),Matt Tennyson,6187728,2500,Ari@SJ 10:30PM ET,SJ,
,,,,,,,,,,C,Chris Tierney (6187661),Chris Tierney,6187661,2500,Ari@SJ 10:30PM ET,SJ,
,,,,,,,,,,D,Mirco Mueller (6187729),Mirco Mueller,6187729,2500,Ari@SJ 10:30PM ET,SJ,
,,,,,,,,,,RW,J.C. Lipon (6187688),J.C. Lipon,6187688,2500,Wpg@Edm 10:00PM ET,Wpg,
,,,,,,,,,,C,Andrew Copp (6187648),Andrew Copp,6187648,2500,Wpg@Edm 10:00PM ET,Wpg,
,,,,,,,,,,C,Tyler Gaudet (6187662),Tyler Gaudet,6187662,2500,Ari@SJ 10:30PM ET,Ari,
