C,C,W,W,W,D,D,G,UTIL,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,D,Darnell Nurse (6198407),Darnell Nurse,6198407,3400,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,C,Andrew Cogliano (6198332),Andrew Cogliano,6198332,3200,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,LW,Patrick Maroon (6198354),Patrick Maroon,6198354,3100,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,C,Shawn Horcoff (6198328),Shawn Horcoff,6198328,3000,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,RW,Zack Kassian (6198370),Zack Kassian,6198370,3000,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,C,Mark Letestu (6198333),Mark Letestu,6198333,2900,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,D,Brandon Davidson (6198399),Brandon Davidson,6198399,2900,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,D,Mark Fayne (6198400),Mark Fayne,6198400,2900,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,C,Ryan Garbutt (6198336),Ryan Garbutt,6198336,2900,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,LW,Antoine Roussel (6198348),Antoine Roussel,6198348,2900,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,D,Simon Despres (6198395),Simon Despres,6198395,2800,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,D,Clayton Stoner (6198392),Clayton Stoner,6198392,2700,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,C,Mike Santorelli (6198334),Mike Santorelli,6198334,2700,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,D,Patrik Nemeth (6198385),Patrik Nemeth,6198385,2700,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,D,Josh Manson (6198404),Josh Manson,6198404,2700,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,C,Vernon Fiddler (6198313),Vernon Fiddler,6198313,2600,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,LW,Lauri Korpikoski (6198350),Lauri Korpikoski,6198350,2600,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,LW,Matt Hendricks (6198353),Matt Hendricks,6198353,2600,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,C,Colton Sceviour (6198319),Colton Sceviour,6198319,2600,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,D,Jordie Benn (6198383),Jordie Benn,6198383,2600,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,D,Eric Gryba (6198396),Eric Gryba,6198396,2600,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,D,Korbinian Holzer (6198397),Korbinian Holzer,6198397,2600,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,D,Adam Clendening (6198403),Adam Clendening,6198403,2600,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,RW,Iiro Pakarinen (6198373),Iiro Pakarinen,6198373,2600,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,C,Radek Faksa (6198324),Radek Faksa,6198324,2600,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,LW,Nick Ritchie (6198356),Nick Ritchie,6198356,2600,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,C,Olli Jokinen (6198312),Olli Jokinen,6198312,2500,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,D,Andrew Ference (6198391),Andrew Ference,6198391,2500,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,RW,Scottie Upshall (6198357),Scottie Upshall,6198357,2500,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,LW,Travis Moen (6198344),Travis Moen,6198344,2500,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,C,Kyle Brodziak (6198315),Kyle Brodziak,6198315,2500,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,C,Nate Thompson (6198331),Nate Thompson,6198331,2500,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,D,Peter Harrold (6198376),Peter Harrold,6198376,2500,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,RW,Ryan Reaves (6198361),Ryan Reaves,6198361,2500,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,D,Carl Gunnarsson (6198382),Carl Gunnarsson,6198382,2500,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,LW,Magnus Paajarvi (6198346),Magnus Paajarvi,6198346,2500,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,RW,Jordan Caron (6198362),Jordan Caron,6198362,2500,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,D,Robert Bortuzzo (6198384),Robert Bortuzzo,6198384,2500,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,RW,Tyler Pitlick (6198371),Tyler Pitlick,6198371,2500,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,C,Harry Zolnierczyk (6198335),Harry Zolnierczyk,6198335,2500,Anh@Edm 09:00PM ET,Anh,
,,,,,,,,,,C,Anton Lander (6198337),Anton Lander,6198337,2500,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,D,Jamie Oleksiak (6198387),Jamie Oleksiak,6198387,2500,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,RW,Dmitrij Jaskin (6198364),Dmitrij Jaskin,6198364,2500,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,D,Joel Edmundson (6198388),Joel Edmundson,6198388,2500,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,D,Jyrki Jokipakka (6198389),Jyrki Jokipakka,6198389,2500,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,C,Jeremy Welsh (6198323),Jeremy Welsh,6198323,2500,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,C,Devin Shore (6198325),Devin Shore,6198325,2500,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,LW,Curtis McKenzie (6198349),Curtis McKenzie,6198349,2500,Dal@StL 08:00PM ET,Dal,
