Player,Team,Min,Pts, Reb,Ast,Stl,FP,Cost,Value
Bojan Bogdanovic (GF- BKN),CLE,26.7,9.1,3.2,1.1,0.5,14.79,$3500,4.23
Patrick Patterson (FC- TOR),BOS,24.6,7.0,4,1.1,0.7,14.75,$3700,3.99
Stanley Johnson (SF- DET),HOU,21.4,8.0,3.4,1.3,0.7,14.63,$3800,3.85
Devin Harris (G- DAL),MIN,19.7,7.1,1.8,2.3,1.0,14.21,$3500,4.06
Garrett Temple (G- WSH),MIA,23.2,7.7,2.4,1.6,0.8,14.18,$4800,2.95
Nik Stauskas (SG- PHI),ORL,23.6,7.3,2.6,1.9,0.6,13.87,$3800,3.65
Shaun Livingston (G- GS),CHI,20.1,6.8,2,2.5,0.5,13.55,$3500,3.87
Hollis Thompson (GF- PHI),ORL,24.1,8.1,2.9,1.1,0.4,13.53,$3500,3.87
Anthony Tolliver (F- DET),HOU,22.1,6.5,3.4,1.1,0.5,13.33,$3500,3.81
David Lee (FC- BOS),TOR,14.4,6.3,3.8,1.3,0.3,13.21,$4100,3.22
Brandon Jennings (PG- DET),HOU,17.2,6.6,1.8,3.1,0.4,13.11,$4200,3.12
Channing Frye (FC- ORL),PHI,18.5,5.6,3.8,1.1,0.6,12.91,$3500,3.69
Derrick Williams (F- NY),UTAH,16,8.0,2.8,0.8,0.4,12.86,$4400,2.92
Terrence Ross (GF- TOR),BOS,22.3,7.4,2.3,0.9,0.7,12.81,$3800,3.37
Mike Scott (PF- ATL),POR,16.9,8.0,2.1,1.2,0.4,12.52,$3600,3.48
Doug McDermott (SF- CHI),GS,20.9,8.2,2.5,0.8,0.3,12.5,$3500,3.57
Andre Roberson (GF- OKC),CHA,21.2,4.9,3.5,0.8,0.8,12.5,$3600,3.47
Ben McLemore (SG- SAC),LAL,20.3,7.4,2.1,1.6,0.7,12.42,$3600,3.45
Trey Lyles (PF- UTAH),NY,19.4,5.5,4.3,0.7,0.4,12.41,$4300,2.89
Jeff Withey (C- UTAH),NY,14.4,4.7,4,0.4,0.4,12.3,$4100,3
Raul Neto (PG- UTAH),NY,19.9,5.3,1.7,2.7,0.9,12.09,$3500,3.45
Maurice Harkless (SF- POR),ATL,18.3,5.3,3.6,0.9,0.7,11.97,$3500,3.42
Wayne Ellington (SG- BKN),CLE,20.2,7.0,2.2,1.1,0.6,11.89,$3500,3.4
Tiago Splitter (C- ATL),POR,15.9,5.3,3.6,0.9,0.4,11.87,$3500,3.39
Lance Thomas (GF- NY),UTAH,21.5,7.8,2.2,0.9,0.4,11.79,$3600,3.28
Bobby Portis (FC- CHI),GS,13.6,5.9,3.7,0.5,0.4,11.39,$3500,3.25
James Johnson (F- TOR),BOS,15.2,5.6,2.4,1.0,0.6,11.38,$3500,3.25
Spencer Hawes (FC- CHA),OKC,14.6,4.5,3.4,1.1,0.4,10.73,$3500,3.07
P.J. Hairston (GF- CHA),OKC,20.3,5.5,2.6,1.0,0.3,10.62,$3500,3.03
Quincy Acy (F- SAC),LAL,13.1,4.7,3,0.5,0.5,10.45,$3500,2.99
Gerald Henderson (GF- POR),ATL,15.3,6.2,2.5,0.8,0.2,10.4,$3500,2.97
Jerian Grant (PG- NY),UTAH,14.9,4.5,1.7,2.2,0.5,10.24,$3500,2.93
Tayshaun Prince (F- MIN),DAL,21.3,5.0,2.4,1.0,0.5,10.18,$3600,2.83
Aron Baynes (C- DET),HOU,12.4,4.2,3.8,0.5,0.2,10.01,$3600,2.78
Kyle O'Quinn (FC- NY),UTAH,10.8,3.6,3.2,0.7,0.4,9.49,$3500,2.71
Leandro Barbosa (G- GS),CHI,12.5,5.1,1.4,1.2,0.7,9.48,$3600,2.63
Noah Vonleh (PF- POR),ATL,14,3.2,3.6,0.6,0.4,9.22,$3500,2.63
Anthony Morrow (GF- OKC),CHA,16.7,5.8,1.7,0.5,0.4,9.19,$3500,2.63
JaVale McGee (C- DAL),MIN,9.3,3.8,2.9,0.1,0.1,8.53,$3800,2.24
JaKarr Sampson (SF- PHI),ORL,13.7,4.8,2.4,0.6,0.2,8.48,$3500,2.42
Marreese Speights (FC- GS),CHI,8.9,4.4,2.5,0.4,0.2,8.3,$3500,2.37
Cameron Payne (PG- OKC),CHA,9.5,3.8,1.3,1.4,0.5,8.16,$3700,2.21
Joe Ingles (GF- UTAH),NY,13.4,4.1,1.6,1.0,0.5,8.02,$3500,2.29
Mario Hezonja (SG- ORL),PHI,12.7,4.2,1.7,1.2,0.3,7.94,$3500,2.27
Mo Williams (G- CLE),BKN,10.4,4.6,1,1.5,0.2,7.85,$4200,1.87
Amar'e Stoudemire (FC- MIA),WSH,9.3,3.5,2.5,0.4,0.2,7.8,$3500,2.23
Kelly Oubre (SF- WSH),MIA,13.1,4.0,2.1,0.5,0.3,7.77,$3500,2.22
Jonas Jerebko (F- BOS),TOR,12.2,3.7,2.2,0.8,0.3,7.74,$3500,2.21
Seth Curry (PG- SAC),LAL,11.1,3.7,1,1.4,0.3,7,$3500,2
Ian Clark (G- GS),CHI,9.3,3.6,1,0.9,0.4,6.85,$3500,1.96
Andre Miller (G- MIN),DAL,9.2,3.0,0.8,1.6,0.4,6.56,$3500,1.87
Jeremy Evans (F- DAL),MIN,8.5,2.6,2.1,0.2,0.3,6.32,$3500,1.81
T.J. McConnell (PG- PHI),ORL,7.5,2.0,1.1,1.5,0.4,5.87,$3900,1.51
Marcus Thornton (PG- HOU),DET,7.2,3.7,0.9,0.5,0.3,5.83,$3900,1.49
Thomas Robinson (FC- BKN),CLE,7.5,2.3,2.1,0.2,0.2,5.72,$3500,1.63
Kevin Martin (GF- MIN),DAL,8.5,3.9,0.8,0.5,0.2,5.61,$3700,1.52
Jared Cunningham (G- CLE),BKN,9.1,2.7,0.9,0.8,0.3,5.38,$3500,1.54
Anderson Varejao (FC- CLE),BKN,7,2.0,1.9,0.4,0.2,5.28,$3500,1.51
Nick Collison (FC- OKC),CHA,8.7,1.6,2,0.5,0.2,5.15,$3500,1.47
