Rank,EntryId,EntryName,TimeRemaining,Points,Lineup
72,349521007,redskingary (1/3),0,296,PG Stephen Curry SG Kentavious Caldwell-Pope SF Kevin Durant PF Serge Ibaka C Miles Plumlee F Harrison Barnes G Shaun Livingston UTIL Reggie Jackson
73,349506067,dtx1997,0,295.75,PG Stephen Curry SG Kentavious Caldwell-Pope SF Marcus Morris PF Draymond Green C Andre Drummond F Andre Iguodala G Andre Roberson UTIL Enes Kanter
73,349512627,Swaingm01 (2/5),0,295.75,PG Stephen Curry SG Andre Roberson SF Kevin Durant PF Serge Ibaka C Steven Adams F Jabari Parker G Shaun Livingston UTIL Tobias Harris
73,349518310,RickEC3782,0,295.75,PG Reggie Jackson SG Klay Thompson SF Harrison Barnes PF Serge Ibaka C Andre Drummond F Reggie Bullock G Stephen Curry UTIL Shaun Livingston
76,349486896,jaysmith227,0,295.5,PG Stephen Curry SG Khris Middleton SF Tobias Harris PF Serge Ibaka C Miles Plumlee F Harrison Barnes G Shaun Livingston UTIL Draymond Green
76,349505428,Billiam,0,295.5,PG Stephen Curry SG O.J. Mayo SF Kevin Durant PF Serge Ibaka C Miles Plumlee F Andre Iguodala G Dion Waiters UTIL Klay Thompson
76,349523211,ctrain03 (3/5),0,295.5,PG Stephen Curry SG Kentavious Caldwell-Pope SF Tobias Harris PF Serge Ibaka C Aron Baynes F Marcus Morris G Shaun Livingston UTIL Kevin Durant
76,349529867,zrparker15,0,295.5,PG Reggie Jackson SG O.J. Mayo SF Giannis Antetokounmpo PF Serge Ibaka C Steven Adams F Marcus Morris G Khris Middleton UTIL Draymond Green
80,349520580,sneakygook (2/3),0,295.25,PG Stephen Curry SG Kentavious Caldwell-Pope SF Kevin Durant PF Serge Ibaka C Steven Adams F Marcus Morris G Dion Waiters UTIL Andre Iguodala
80,349529618,Cnpjerob (7/11),0,295.25,PG Reggie Jackson SG Khris Middleton SF Kevin Durant PF Serge Ibaka C Steven Adams F Andre Iguodala G Klay Thompson UTIL Andrew Bogut
80,349538247,swiguy09,0,295.25,PG Stephen Curry SG Kentavious Caldwell-Pope SF Kevin Durant PF Serge Ibaka C Steven Adams F Andre Iguodala G Dion Waiters UTIL Marcus Morris
83,349497981,kiingkey,0,295,PG Stephen Curry SG Klay Thompson SF Harrison Barnes PF Serge Ibaka C Andre Drummond F Marcus Morris G Shaun Livingston UTIL Steven Adams
84,349520947,charliehustle14jr,0,294.75,PG Stephen Curry SG Khris Middleton SF Kevin Durant PF Serge Ibaka C Anderson Varejao F Andre Iguodala G Michael Carter-Williams UTIL Miles Plumlee
85,349485581,phillystalker2 (1/3),0,294.5,PG Russell Westbrook SG O.J. Mayo SF Kevin Durant PF Serge Ibaka C Steven Adams F Andre Iguodala G Klay Thompson UTIL Shaun Livingston
86,349513932,Wizards-1959,0,294.25,PG Stephen Curry SG Klay Thompson SF Andre Iguodala PF Draymond Green C Andrew Bogut F Serge Ibaka G Kentavious Caldwell-Pope UTIL Miles Plumlee
87,349513661,JackRabbitZero (27/50),0,294,PG Stephen Curry SG Khris Middleton SF Kyle Singler PF Draymond Green C Aron Baynes F Kevin Durant G Shaun Livingston UTIL Miles Plumlee
87,349519924,kingkamanthony (3/4),0,294,PG Stephen Curry SG Kentavious Caldwell-Pope SF Andre Iguodala PF Draymond Green C Miles Plumlee F Tobias Harris G Michael Carter-Williams UTIL Serge Ibaka
89,349499809,steveafike (4/5),0,293.5,PG Russell Westbrook SG Khris Middleton SF Andre Iguodala PF Serge Ibaka C Miles Plumlee F Reggie Bullock G Stephen Curry UTIL Enes Kanter
89,349520878,Veldrid,0,293.5,PG Stephen Curry SG Andre Roberson SF Reggie Bullock PF Draymond Green C Enes Kanter F Marcus Morris G Russell Westbrook UTIL Miles Plumlee
89,349530642,vmdiaz82,0,293.5,PG Michael Carter-Williams SG Klay Thompson SF Tobias Harris PF Serge Ibaka C Miles Plumlee F Andre Iguodala G Reggie Jackson UTIL Stephen Curry
92,349487447,takeiteasy1955 (1/12),0,293.25,PG Stephen Curry SG Klay Thompson SF Andre Iguodala PF Draymond Green C Marreese Speights F Serge Ibaka G Kentavious Caldwell-Pope UTIL Enes Kanter
92,349531263,MunySquad (8/9),0,293.25,PG Russell Westbrook SG Andre Roberson SF Andre Iguodala PF Serge Ibaka C Andre Drummond F Marcus Morris G Michael Carter-Williams UTIL Reggie Jackson
94,349503368,luckyleo_101 (1/2),0,293,PG Stephen Curry SG O.J. Mayo SF Kevin Durant PF Serge Ibaka C Marreese Speights F Andre Iguodala G Randy Foye UTIL Draymond Green
94,349507210,ekemalakers,0,293,PG Stephen Curry SG Kentavious Caldwell-Pope SF Marcus Morris PF Draymond Green C Enes Kanter F Serge Ibaka G Michael Carter-Williams UTIL Steven Adams
94,349518694,anygame4u,0,293,PG Stephen Curry SG Andre Roberson SF Andre Iguodala PF Serge Ibaka C Steven Adams F Marcus Morris G Russell Westbrook UTIL Michael Carter-Williams
94,349520843,CZYX (22/50),0,293,PG Russell Westbrook SG Andre Roberson SF Andre Iguodala PF Serge Ibaka C Aron Baynes F Draymond Green G Michael Carter-Williams UTIL Andre Drummond
94,349520845,CZYX (24/50),0,293,PG Russell Westbrook SG Andre Roberson SF Marcus Morris PF Serge Ibaka C Steven Adams F Andre Iguodala G Stephen Curry UTIL Michael Carter-Williams
