PG,SG,SF,PF,C,G,F,UTIL,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,SF,Paul Pierce (6162021),Paul Pierce,6162021,3600,LAC@Phi 07:00PM ET,LAC,
,,,,,,,,,C,Roy Hibbert (6162201),Roy Hibbert,6162201,3600,LAL@Ind 07:00PM ET,LAL,
,,,,,,,,,C,Omer Asik (6162183),Omer Asik,6162183,3600,NO@Min 08:00PM ET,NO,
,,,,,,,,,C,Timofey Mozgov (6162189),Timofey Mozgov,6162189,3600,Sac@Cle 07:00PM ET,Cle,
,,,,,,,,,SG,Bojan Bogdanovic (6161910),Bojan Bogdanovic,6161910,3600,Den@Bkn 07:30PM ET,Bkn,
,,,,,,,,,SF,P.J. Hairston (6162048),P.J. Hairston,6162048,3600,Chi@Cha 07:00PM ET,Cha,
,,,,,,,,,PG,Cameron Payne (6161835),Cameron Payne,6161835,3600,OKC@Pho 09:00PM ET,OKC,
,,,,,,,,,PG,Kirk Hinrich (6161836),Kirk Hinrich,6161836,3500,Chi@Cha 07:00PM ET,Chi,
,,,,,,,,,PG,Aaron Brooks (6161837),Aaron Brooks,6161837,3500,Chi@Cha 07:00PM ET,Chi,
,,,,,,,,,SF,Alonzo Gee (6161991),Alonzo Gee,6161991,3500,NO@Min 08:00PM ET,NO,
,,,,,,,,,SF,James Johnson (6162029),James Johnson,6162029,3500,Tor@Det 07:30PM ET,Tor,
,,,,,,,,,C,Kosta Koufos (6162188),Kosta Koufos,6162188,3500,Sac@Cle 07:00PM ET,Sac,
,,,,,,,,,SG,Iman Shumpert (6161896),Iman Shumpert,6161896,3500,Sac@Cle 07:00PM ET,Cle,
,,,,,,,,,SF,Maurice Harkless (6162007),Maurice Harkless,6162007,3500,Por@Mem 08:00PM ET,Por,
,,,,,,,,,SF,Tony Snell (6162045),Tony Snell,6162045,3400,Chi@Cha 07:00PM ET,Chi,
,,,,,,,,,SG,Ben McLemore (6161898),Ben McLemore,6161898,3400,Sac@Cle 07:00PM ET,Sac,
,,,,,,,,,SG,Mario Hezonja (6161948),Mario Hezonja,6161948,3400,Orl@Atl 08:00PM ET,Orl,
,,,,,,,,,SG,Kevin Martin (6161887),Kevin Martin,6161887,3300,NO@Min 08:00PM ET,Min,
,,,,,,,,,C,Anderson Varejao (6162186),Anderson Varejao,6162186,3300,Sac@Cle 07:00PM ET,Cle,
,,,,,,,,,C,Aron Baynes (6162213),Aron Baynes,6162213,3300,Tor@Det 07:30PM ET,Det,
,,,,,,,,,SF,Doug McDermott (6162046),Doug McDermott,6162046,3300,Chi@Cha 07:00PM ET,Chi,
,,,,,,,,,PF,Noah Vonleh (6162105),Noah Vonleh,6162105,3300,Por@Mem 08:00PM ET,Por,
,,,,,,,,,C,Jusuf Nurkic (6162199),Jusuf Nurkic,6162199,3300,Den@Bkn 07:30PM ET,Den,
,,,,,,,,,PG,Mo Williams (6161798),Mo Williams,6161798,3200,Sac@Cle 07:00PM ET,Cle,
,,,,,,,,,PG,Randy Foye (6161809),Randy Foye,6161809,3200,Den@Bkn 07:30PM ET,Den,
,,,,,,,,,PF,Anthony Tolliver (6162126),Anthony Tolliver,6162126,3200,Tor@Det 07:30PM ET,Det,
,,,,,,,,,PG,Brian Roberts (6161838),Brian Roberts,6161838,3200,Chi@Cha 07:00PM ET,Cha,
,,,,,,,,,SF,Dante Cunningham (6161990),Dante Cunningham,6161990,3200,NO@Min 08:00PM ET,NO,
,,,,,,,,,PF,Mike Scott (6162143),Mike Scott,6162143,3200,Orl@Atl 08:00PM ET,Atl,
,,,,,,,,,SF,Lance Stephenson (6162023),Lance Stephenson,6162023,3200,LAC@Phi 07:00PM ET,LAC,
,,,,,,,,,PF,Nemanja Bjelica (6162092),Nemanja Bjelica,6162092,3200,NO@Min 08:00PM ET,Min,
,,,,,,,,,C,Tarik Black (6162206),Tarik Black,6162206,3200,LAL@Ind 07:00PM ET,LAL,
,,,,,,,,,C,Nick Collison (6162219),Nick Collison,6162219,3100,OKC@Pho 09:00PM ET,OKC,
,,,,,,,,,SF,Tayshaun Prince (6161989),Tayshaun Prince,6161989,3100,NO@Min 08:00PM ET,Min,
,,,,,,,,,PG,Toney Douglas (6161792),Toney Douglas,6161792,3100,NO@Min 08:00PM ET,NO,
,,,,,,,,,SG,Nick Young (6161914),Nick Young,6161914,3100,LAL@Ind 07:00PM ET,LAL,
,,,,,,,,,C,Andrea Bargnani (6162196),Andrea Bargnani,6162196,3100,Den@Bkn 07:30PM ET,Bkn,
,,,,,,,,,SF,Kyle Singler (6162038),Kyle Singler,6162038,3100,OKC@Pho 09:00PM ET,OKC,
,,,,,,,,,C,Alexis Ajinca (6162181),Alexis Ajinca,6162181,3100,NO@Min 08:00PM ET,NO,
,,,,,,,,,C,Nikola Pekovic (6162182),Nikola Pekovic,6162182,3100,NO@Min 08:00PM ET,Min,
,,,,,,,,,SF,Solomon Hill (6162017),Solomon Hill,6162017,3100,LAL@Ind 07:00PM ET,Ind,
,,,,,,,,,SF,Ryan Kelly (6162018),Ryan Kelly,6162018,3100,LAL@Ind 07:00PM ET,LAL,
,,,,,,,,,PG,Troy Daniels (6161842),Troy Daniels,6161842,3100,Chi@Cha 07:00PM ET,Cha,
,,,,,,,,,SG,Andre Roberson (6161934),Andre Roberson,6161934,3100,OKC@Pho 09:00PM ET,OKC,
,,,,,,,,,SG,Tim Hardaway Jr. (6161945),Tim Hardaway Jr.,6161945,3100,Orl@Atl 08:00PM ET,Atl,
,,,,,,,,,SF,Anthony Brown (6162019),Anthony Brown,6162019,3100,LAL@Ind 07:00PM ET,LAL,
,,,,,,,,,SG,Jordan McRae (6161936),Jordan McRae,6161936,3100,OKC@Pho 09:00PM ET,Pho,
,,,,,,,,,PG,Pablo Prigioni (6161823),Pablo Prigioni,6161823,3100,LAC@Phi 07:00PM ET,LAC,
,,,,,,,,,SG,Markel Brown (6161909),Markel Brown,6161909,3100,Den@Bkn 07:30PM ET,Bkn,
,,,,,,,,,SG,Joe Young (6161918),Joe Young,6161918,3100,LAL@Ind 07:00PM ET,Ind,
,,,,,,,,,PF,Richaun Holmes (6162123),Richaun Holmes,6162123,3100,LAC@Phi 07:00PM ET,Phi,
,,,,,,,,,C,Joffrey Lauvergne (6162198),Joffrey Lauvergne,6162198,3100,Den@Bkn 07:30PM ET,Den,
,,,,,,,,,PF,Kevin Garnett (6162090),Kevin Garnett,6162090,3000,NO@Min 08:00PM ET,Min,
,,,,,,,,,SG,Vince Carter (6161899),Vince Carter,6161899,3000,Por@Mem 08:00PM ET,Mem,
,,,,,,,,,C,Elton Brand (6162208),Elton Brand,6162208,3000,LAC@Phi 07:00PM ET,Phi,
,,,,,,,,,PG,Andre Miller (6161791),Andre Miller,6161791,3000,NO@Min 08:00PM ET,Min,
,,,,,,,,,SF,Metta World Peace (6162013),Metta World Peace,6162013,3000,LAL@Ind 07:00PM ET,LAL,
,,,,,,,,,SG,Mike Miller (6161906),Mike Miller,6161906,3000,Den@Bkn 07:30PM ET,Den,
,,,,,,,,,SF,Richard Jefferson (6161996),Richard Jefferson,6161996,3000,Sac@Cle 07:00PM ET,Cle,
,,,,,,,,,PG,Steve Blake (6161824),Steve Blake,6161824,3000,Tor@Det 07:30PM ET,Det,
,,,,,,,,,SG,James Jones (6161892),James Jones,6161892,3000,Sac@Cle 07:00PM ET,Cle,
,,,,,,,,,C,Chris Kaman (6162191),Chris Kaman,6162191,3000,Por@Mem 08:00PM ET,Por,
,,,,,,,,,PF,Channing Frye (6162140),Channing Frye,6162140,3000,Orl@Atl 08:00PM ET,Orl,
,,,,,,,,,PG,Ronnie Price (6161831),Ronnie Price,6161831,3000,OKC@Pho 09:00PM ET,Pho,
,,,,,,,,,SF,Caron Butler (6161997),Caron Butler,6161997,3000,Sac@Cle 07:00PM ET,Sac,
,,,,,,,,,SF,Mike Dunleavy (6162043),Mike Dunleavy,6162043,3000,Chi@Cha 07:00PM ET,Chi,
,,,,,,,,,SF,Steve Novak (6162035),Steve Novak,6162035,3000,OKC@Pho 09:00PM ET,OKC,
,,,,,,,,,PG,C.J. Watson (6161844),C.J. Watson,6161844,3000,Orl@Atl 08:00PM ET,Orl,
,,,,,,,,,C,Ryan Hollins (6162192),Ryan Hollins,6162192,3000,Por@Mem 08:00PM ET,Mem,
,,,,,,,,,C,Kendrick Perkins (6162180),Kendrick Perkins,6162180,3000,NO@Min 08:00PM ET,NO,
,,,,,,,,,PF,Carl Landry (6162119),Carl Landry,6162119,3000,LAC@Phi 07:00PM ET,Phi,
,,,,,,,,,C,Sasha Kaun (6162187),Sasha Kaun,6162187,3000,Sac@Cle 07:00PM ET,Cle,
,,,,,,,,,PF,Jason Smith (6162142),Jason Smith,6162142,3000,Orl@Atl 08:00PM ET,Orl,
